lucode,LULC_name,C_above,C_below,C_soil,C_dead,,,,,,,,,
10,NonIrrigatedArableLand,5,0,0,0,,,,,,,,,
11,NonIrrigatedArableLandHerbaceous,5,0,0,0,,,,,,,,,
12,PermanentCropland,5,0,0,0,,,,,,,,,
20,PermanentlyIrrigatedArableLand,5,0,0,0,,,,,,,,,
30,ComplexCultivationPatternedLand,76,0,0,0,,,,,,,,,
40,AgriculturalLandWithNaturalVegetation,76,0,0,0,,,,,,,,,
50,EvergreenBroadleafForest,170,0,0,0,,,,,,,,,
60,DeciduousBroadleafForest,170,0,0,0,,,,,,,,,
61,ClosedDeciduousBroadleafForest,170,0,0,0,,,,,,,,,
62,OpenDeciduousBroadleafForest,170,0,0,0,,,,,,,,,
70,EvergreenConiferousForest,100,0,0,0,,,,,,,,,
71,ClosedEvergreenConiferousForest,100,0,0,0,,,,,,,,,
72,OpenEvergreenConiferousForest,100,0,0,0,,,,,,,,,
80,DeciduousConiferousForest,100,0,0,0,,,,,,,,,
81,ClosedDeciduousConiferousForest,100,0,0,0,,,,,,,,,
82,OpenDeciduousConiferousForest,100,0,0,0,,,,,,,,,
90,MixedForest,135,0,0,0,,,,,,,,,
100,ClosedSavanna,73,0,0,0,,,,,,,,,
110,OpenSavanna,73,0,0,0,,,,,,,,,
120,Shrubland,53,0,0,0,,,,,,,,,
121,EvergreenShrubland,53,0,0,0,,,,,,,,,
122,DeciduousShrubland,53,0,0,0,,,,,,,,,
130,Grassland,4.5,0,0,0,,,,,,,,,
140,LichenMoss,1,0,0,0,,,,,,,,,
150,SparseVegetation,2.5,0,0,0,,,,,,,,,
151,SparseTreeCover,2.5,0,0,0,,,,,,,,,
152,SparseShrubCover,2.5,0,0,0,,,,,,,,,
153,SparseHerbaceousCover,2.5,0,0,0,,,,,,,,,
160,Wetland,142,0,0,0,,,,,,,,,
170,Mangrove,142,0,0,0,,,,,,,,,
180,InlandMarsh,53,0,0,0,,,,,,,,,
190,ArtificialSurface,0,0,0,0,,,,,,,,,
200,BareArea,1,0,0,0,,,,,,,,,
201,BareRock,1,0,0,0,,,,,,,,,
202,BeachDuneAndSand,1,0,0,0,,,,,,,,,
210,WaterBody,0,0,0,0,,,,,,,,,
220,GlacierAndPerpetualSnow,0,0,0,0,,,,,,,,,
